game_id,game_name,price,genres,tags,specs,release_date
15380,Heroes of Might & Magic V: Hammers of Fate,9.99,Strategy,"Strategy,Turn-Based Strategy,Turn-Based,Fantasy",Single-player,11/14/2006
19800,Brothers in Arms: Earned in Blood™,9.99,Action,"Action,FPS,World War II,Tactical,Military,Strategy,Singleplayer",Single-player,10/4/2005
15390,Brothers in Arms: Hell's Highway™,9.99,Action,"Action,World War II,FPS,Tactical,Singleplayer,Military,Story Rich,Shooter,Gore,Atmospheric,Strategy,First-Person,War,Multiplayer,Historical",Single-player,10/8/2008
15190,Brothers in Arms: Road to Hill 30™,9.99,Action,"Action,FPS,World War II,Tactical,Military,Singleplayer,Historical,Multiplayer,Shooter,Strategy,Story Rich,War,Atmospheric",Single-player,3/15/2005
97100,Section 8®: Prejudice™,9.99,Action,"Action,FPS,Sci-fi,Shooter,Multiplayer,First-Person,Singleplayer",Single-player,5/4/2011
12150,Max Payne 2: The Fall of Max Payne,9.99,Action,"Noir,Action,Third-Person Shooter,Classic,Bullet Time,Story Rich,Atmospheric,Shooter,Third Person,Singleplayer,Dark,Great Soundtrack,Cinematic,Adventure,Crime,Nudity,Detective",Single-player,10/14/2003
8800,Civilization IV: Beyond the Sword,9.99,Strategy,"Strategy,Turn-Based Strategy,4X,Turn-Based,Singleplayer,Historical,Multiplayer,Moddable,Grand Strategy",Single-player,7/24/2007
13570,Tom Clancy's Splinter Cell Chaos Theory®,9.99,Action,"Stealth,Action,Third Person,Co-op,Classic,Great Soundtrack,Atmospheric,Singleplayer,Multiplayer,Tactical,Shooter,Story Rich,Third-Person Shooter,Adventure",Single-player,3/29/2005
13560,Tom Clancy's Splinter Cell®,9.99,Action,"Stealth,Action,Third Person,Singleplayer,Classic,Adventure,Shooter,Third-Person Shooter,Atmospheric,Multiplayer,Difficult",Single-player,2/18/2003
21780,Driver® Parallel Lines,9.99,Racing,"Racing,Action,Open World,Driving,Singleplayer",Single-player,6/26/2007
2420,The Ship: Single Player,9.99,"Action,Indie,RPG","Action,RPG,Indie,Singleplayer,FPS",Single-player,11/20/2006
34190,Sonic & SEGA All-Stars Racing,9.99,Racing,"Racing,Local Multiplayer,Split Screen,Arcade,Great Soundtrack,Action,Family Friendly,Multiplayer,Controller,Singleplayer,Fast-Paced",Single-player,3/3/2010
13500,Prince of Persia: Warrior Within™,9.99,"Action,Adventure","Action,Adventure,Parkour,Third Person,Great Soundtrack,Singleplayer,Platformer,Atmospheric,Time Travel,Classic,Hack and Slash,Time Manipulation,Gore,Fantasy,Story Rich,Open World,Dark",Single-player,11/30/2004
13600,Prince of Persia®: The Sands of Time,9.99,"Action,Adventure","Action,Adventure,Parkour,Platformer,Third Person,Classic,Singleplayer,Puzzle-Platformer,Story Rich,Time Manipulation,Great Soundtrack,Time Travel,Fantasy,Hack and Slash,Atmospheric",Single-player,12/2/2003
18420,Crazy Machines,9.99,"Casual,Strategy","Casual,Strategy,Puzzle,Physics",Single-player,10/1/2005
1510,Uplink,9.99,"Indie,Strategy","Hacking,Indie,Strategy,Singleplayer,Cyberpunk,Great Soundtrack,Classic,Simulation,Sci-fi,2D,Real-Time with Pause,Experimental,Story Rich,Atmospheric,Perma Death",Single-player,8/23/2006
200370,A Game of Dwarves,9.99,"Strategy,Casual","Strategy,Casual,City Builder,Fantasy,Building,Simulation,Crafting,Singleplayer",Single-player,10/23/2012
2990,FlatOut 2™,9.99,Racing,"Racing,Destruction,Multiplayer,Great Soundtrack,Classic,Action,Singleplayer,Music,Simulation,Driving,Arcade,Physics,Comedy,Casual,Atmospheric,Funny",Single-player,8/1/2006
35000,Mini Ninjas,9.99,"Action,Adventure","Adventure,Action,Ninja,Stealth,Cute,Singleplayer,3D Platformer,Platformer,Third Person,Family Friendly,Multiplayer,Funny,Open World,Controller,Co-op,Great Soundtrack",Single-player,9/8/2009
46410,Avencast: Rise of the Mage,9.99,"Action,Indie,RPG","RPG,Action,Action RPG,Fantasy,Indie,Magic,Adventure,Singleplayer,Hack and Slash,Story Rich,Atmospheric",Single-player,3/17/2010
33320,Prince of Persia: The Forgotten Sands™,9.99,"Action,Adventure","Action,Adventure,Platformer,Parkour,Third Person,Singleplayer,Fantasy",Single-player,6/8/2010
37030,UFO: Extraterrestrials Gold,9.99,Strategy,"Strategy,Turn-Based,Turn-Based Strategy,Sci-fi,Tactical,Aliens,Singleplayer",Single-player,2/17/2010
12330,Darkstar One,9.99,Action,"Action,Space,Sci-fi,Space Sim,Simulation,RPG,Open World,Exploration",Single-player,8/14/2006
40350,Lost Horizon,9.99,Adventure,"Adventure,Point & Click",Single-player,9/24/2010
39540,SpellForce - Platinum Edition,9.99,"Action,RPG","RPG,Strategy,Action,Fantasy,RTS,Singleplayer",Single-player,11/3/2009
267960,Hyper Fighters,9.99,Action,"Action,On-Rails Shooter,Shooter,Flight,Singleplayer",Single-player,6/14/2011
15130,Beyond Good and Evil™,9.99,"Action,Adventure","Adventure,Female Protagonist,Action,Third Person,Cult Classic,Stealth,Classic,Singleplayer,Sci-fi,Action-Adventure,Great Soundtrack,Story Rich,Open World,Platformer,Dystopian,Exploration,Atmospheric",Single-player,11/11/2003
32110,LUXOR: Mah Jong,9.99,Casual,"Casual,Puzzle,Singleplayer",Single-player,7/13/2009
420000,Home Design 3D,9.99,Simulation,"Simulation,Design & Illustration,Software",Single-player,1/30/2015
15310,The Settlers®: Heritage of Kings,9.99,Strategy,"Strategy,City Builder,Medieval,RTS",Single-player,2/8/2005
2910,Fleet Command,9.99,Strategy,"Strategy,Naval,Simulation",Single-player,5/15/1999
1500,Darwinia,9.99,"Indie,Strategy","Strategy,Indie,RTS,Singleplayer,Retro,Story Rich,Action,Top-Down",Single-player,7/14/2005
46830,Ironclads: Anglo Russian War 1866,9.99,Strategy,"Strategy,Naval",Single-player,6/21/2011
227920,Risk,9.99,"Strategy,Casual","Strategy,Casual,Board Game,Multiplayer",Single-player,6/10/2013
25010,Lugaru HD,9.99,Action,"Action,Indie,Martial Arts,Parkour,""Beat em up"",Singleplayer,Fighting,Adventure,Difficult,Open World,Atmospheric,RPG,Swordplay,6DOF,Sandbox",Single-player,1/1/2005
409590,KINGDOMS,9.99,"Action,Adventure,Indie,RPG,Simulation,Early Access","Early Access,RPG,Medieval,Open World,Simulation,Survival,Adventure,Building,Crafting,Action,Sandbox,Indie,Singleplayer,Hunting,First-Person,Strategy,Military,Management,Atmospheric,Historical",Single-player,10/23/2015
254960,Silent Storm Gold Edition,9.99,"Action,RPG,Strategy","Strategy,Turn-Based Tactics,RPG,Turn-Based,Tactical,World War II,Alternate History,Turn-Based Strategy,Tactical RPG,Classic,Action,Singleplayer,Sci-fi,Stealth,Destruction,Isometric",Single-player,9/9/2004
39500,Gothic® 3,9.99,"Action,RPG","RPG,Open World,Action,Fantasy,Atmospheric,Third Person,Singleplayer,Gothic,Medieval,Adventure,Great Soundtrack,Story Rich,Sandbox,Magic,Action RPG,Classic,First-Person,Replay Value",Single-player,10/13/2006
19980,Prince of Persia®,9.99,"Action,Adventure","Action,Adventure,Platformer,Parkour,Third Person,Singleplayer,Exploration,Fantasy,Atmospheric,Story Rich,Open World,Great Soundtrack,Relaxing,Hack and Slash",Single-player,12/10/2008
206610,3SwitcheD,9.99,"Casual,Indie","Casual,Indie,Match 3,Puzzle,Singleplayer",Single-player,3/29/2012
19830,Tom Clancy's Rainbow Six® 3 Gold,9.99,Action,"Tactical,Action,FPS,Simulation,Strategy,Realistic,First-Person,Co-op,Shooter,Classic,Singleplayer",Single-player,3/18/2003
285330,RollerCoaster Tycoon® 2: Triple Thrill Pack,9.99,"Simulation,Strategy","Simulation,Management,Classic,Strategy,Sandbox,Singleplayer,Building,Economy,Isometric,Retro,Multiplayer,Casual,Pixel Graphics,Family Friendly",Single-player,10/15/2002
287220,Autocraft,9.99,"Casual,Indie,Simulation","Simulation,Sandbox,Building,Indie,Casual,Physics,Space,Crafting,Singleplayer,Multiplayer,Space Sim,Open World,Free to Play",Single-player,9/20/2017
283370,Marine Sharpshooter II: Jungle Warfare,9.99,Action,"Action,FPS,Sniper",Single-player,6/22/2004
33730,18 Wheels of Steel: Extreme Trucker,9.99,Simulation,"Simulation,Driving",Single-player,9/23/2009
214150,Galactic Civilizations® I: Ultimate Edition,9.99,Strategy,"Strategy,4X,Space,Sci-fi,Turn-Based,Turn-Based Strategy,Singleplayer",Single-player,8/14/2012
12510,Prison Tycoon 3™: Lockdown,9.99,Strategy,"Strategy,Simulation",Single-player,8/1/2007
7210,"Runaway, A Road Adventure",9.99,Adventure,"Adventure,Point & Click,Mystery,Singleplayer,Puzzle",Single-player,8/18/2003
7220,"Runaway, The Dream of The Turtle",9.99,Adventure,"Adventure,Point & Click,Mystery",Single-player,3/12/2007
11190,Sherlock Holmes versus Jack the Ripper,9.99,"Adventure,RPG","Adventure,Point & Click,Detective,Mystery,RPG,Puzzle",Single-player,12/23/2009
58560,Runaway: A Twist of Fate,9.99,Adventure,"Adventure,Point & Click,Mystery",Single-player,4/21/2011
58570,The Next BIG Thing,9.99,Adventure,"Adventure,Point & Click,Mystery,Comedy,Funny,Singleplayer,Puzzle",Single-player,4/21/2011
205840,Yesterday,9.99,Adventure,"Adventure,Point & Click,Mystery,Puzzle,Singleplayer",Single-player,3/22/2012
99700,NightSky,9.99,"Casual,Indie,Strategy","Indie,Platformer,Casual,Puzzle,Physics,Atmospheric,Strategy,2D,Short,Singleplayer,Relaxing",Single-player,3/1/2011
201490,Airline Tycoon 2,9.99,"Simulation,Strategy","Simulation,Strategy,Economy,Management",Single-player,10/24/2011
292390,Realms of the Haunting,9.99,Action,"Action,Horror,FMV,First-Person,Adventure,FPS,Retro,Point & Click,Classic,Singleplayer,""1990s"",Shooter",Single-player,12/31/1996
12520,18 Wheels of Steel: American Long Haul,9.99,Racing,"Simulation,Racing,Driving,Open World",Single-player,12/3/2007
208110,Myst V,9.99,"Adventure,Casual","Adventure,Point & Click,Puzzle,Casual,Exploration,First-Person,Atmospheric,Story Rich,Classic,Mystery",Single-player,3/16/2012
445040,Sorcery! Part 3,9.99,"Adventure,Indie,RPG","Adventure,RPG,Indie,Choose Your Own Adventure,Interactive Fiction,Choices Matter,Story Rich,Magic,Fantasy",Single-player,4/5/2016
15960,Little Farm,9.99,Casual,"Casual,Agriculture,Puzzle,Singleplayer",Single-player,6/10/2008
16130,Fish Tycoon,9.99,"Casual,Simulation","Casual,Simulation,Management",Single-player,11/14/2005
15080,Rayman Raving Rabbids™,9.99,"Action,Adventure","Adventure,Action,Comedy,Funny,Multiplayer,Psychological Horror,Singleplayer",Single-player,3/27/2007
39660,The Guild II - Pirates of the European Seas,9.99,"Simulation,Strategy","Simulation,Strategy,Medieval,Pirates,RPG",Single-player,5/18/2007
38080,Build-A-Lot,9.99,Simulation,"Simulation,Building",Single-player,10/2/2007
11040,Sherlock Holmes - Nemesis,9.99,"Adventure,RPG","Adventure,RPG,Point & Click,Detective,Mystery,Puzzle",Single-player,4/14/2008
11140,Sherlock Holmes: The Awakened - Remastered Edition,9.99,Adventure,"Adventure,Lovecraftian,Point & Click,Detective,Mystery,First-Person,Horror",Single-player,9/23/2008
6310,The Longest Journey,9.99,"Action,Adventure,RPG","Adventure,Point & Click,Female Protagonist,Story Rich,Fantasy,Classic,Sci-fi,Futuristic,Singleplayer,Cyberpunk,Funny,Puzzle,Atmospheric,RPG,Action,Great Soundtrack,Third Person",Single-player,11/17/2000
4100,Poker Superstars II,9.99,"Casual,Strategy,Indie",Card Game,Single-player,3/1/2006
206410,Crazy Machines Elements,9.99,"Casual,Strategy","Casual,Strategy,Puzzle",Single-player,12/6/2011
12690,Hunting Unlimited 2010,9.99,"Simulation,Sports","Simulation,Hunting,Sports,America",Single-player,7/7/2009
206250,Cladun X2 / ??????????X2,9.99,"Action,Indie,RPG","RPG,Action,Indie,JRPG,Retro,Singleplayer,Action RPG,Pixel Graphics,Dungeon Crawler,Anime,Rogue-like,Character Customization",Single-player,8/14/2012
384550,Painters Guild,9.99,"Casual,Indie,Simulation,Strategy","Simulation,Indie,Casual,Strategy,Management,Historical,Great Soundtrack,Pixel Graphics",Single-player,9/1/2015
208640,Midnight Mysteries 4: Haunted Houdini,9.99,"Adventure,Casual","Adventure,Casual,Hidden Object,Puzzle",Single-player,3/28/2012
208630,Midnight Mysteries 3: Devil on the Mississippi,9.99,"Adventure,Casual","Adventure,Casual,Hidden Object,Point & Click,Puzzle",Single-player,3/28/2012
209230,Sherlock Holmes and The Hound of The Baskervilles,9.99,"Adventure,Casual","Adventure,Casual,Hidden Object,Puzzle,Point & Click,Detective",Single-player,11/11/2010
38110,Build-A-Lot 4: Power Source,9.99,Simulation,Simulation,Single-player,8/12/2009
16200,Virtual Families,9.99,"Casual,Simulation","Simulation,Casual",Single-player,5/6/2009
60340,Luxor: 5th Passage,9.99,"Action,Adventure,Casual","Casual,Action,Adventure,Match 3",Single-player,1/25/2011
7530,Two Worlds II Castle Defense,9.99,Strategy,"Strategy,Tower Defense,Fantasy",Single-player,6/14/2011
10140,3D Ultra™ Minigolf Adventures,9.99,Sports,"Sports,Mini Golf,Golf,Local Multiplayer",Single-player,12/20/2006
314320,GamersGoMakers,9.99,"Casual,Indie,Simulation,Strategy","Simulation,Indie,Strategy,Management,Casual,Game Development",Single-player,8/8/2014
12530,Hunting Unlimited™ 2008,9.99,"Action,Adventure,Strategy","Action,Adventure,Strategy,Hunting",Single-player,9/1/2007
12560,Ride! Carnival Tycoon,9.99,Simulation,"Simulation,Management",Single-player,7/2/2007
271370,Transport Giant,9.99,"Simulation,Strategy","Simulation,Strategy,Economy,Trains",Single-player,6/8/2004
204440,Pickers,9.99,"Adventure,Casual","Casual,Adventure,Hidden Object,Point & Click",Single-player,2/22/2012
12320,Sacred Gold,9.99,"Action,RPG","RPG,Action,Hack and Slash,Open World,Fantasy,Classic,Action RPG,Singleplayer,Isometric,Co-op,Adventure,Multiplayer,Atmospheric,Story Rich,Female Protagonist",Single-player,8/14/2006
243000,Omikron: The Nomad Soul,9.99,RPG,"RPG,Cyberpunk,Great Soundtrack,Adventure,Sci-fi,Cult Classic,Classic,Open World,Fighting,""1990s""",Single-player,11/2/1999
50920,Hidden Expedition: Amazon,9.99,"Casual,Indie","Casual,Indie,Hidden Object",Single-player,6/19/2008
246740,Huntsman: The Orphanage (Halloween Edition),9.99,"Action,Adventure,Indie","Adventure,Horror,Indie,Action,First-Person",Single-player,9/13/2013
63650,URU: Complete Chronicles,9.99,"Adventure,Casual","Adventure,Casual,Puzzle,Exploration",Single-player,7/7/2004
12130,Manhunt,9.99,Action,"Gore,Stealth,Action,Horror,Violent,Singleplayer,Psychological Horror,Survival Horror,Atmospheric,Dark,Great Soundtrack,Third Person,Survival,Classic,Mature",Single-player,4/20/2004
224700,The Game of Life,9.99,"Strategy,Casual","Strategy,Casual,Board Game",Single-player,6/10/2013
259170,Alone in the Dark,9.99,"Action,Adventure","Adventure,Action,Horror,Survival Horror,Open World,Atmospheric,Singleplayer,FPS,First-Person",Single-player,11/18/2008
494740,Police Quest™ Collection,9.99,Adventure,"Adventure,Classic,Pixel Graphics,Point & Click,1980s,Detective,Retro,""1990s""",Single-player,9/7/1987
37010,Ninja Blade,9.99,Action,"Action,Hack and Slash,Ninja,Quick-Time Events",Single-player,11/19/2009
245730,Flashback,9.99,"Action,Adventure,RPG","Action,Adventure,RPG,Platformer,Cyberpunk,Remake,Sci-fi,Side Scroller,2.5D,Classic",Single-player,10/1/2013
238050,The Apogee Throwback Pack,9.99,Action,"Action,FPS,Classic,Shooter,Retro",Single-player,7/1/2013
11050,Dracula Origin,9.99,Adventure,"Adventure,Point & Click,Vampire,Puzzle",Single-player,5/20/2008
9730,Tycoon City: New York,9.99,Simulation,"Simulation,Management,City Builder",Single-player,2/21/2006
501990,Phantasmagoria,9.99,Adventure,"Adventure,FMV,Horror,Female Protagonist,Point & Click,Gore,""1990s""",Single-player,7/31/1995
274350,Dropsy,9.99,"Adventure,Indie","Adventure,Point & Click,Indie,Pixel Graphics,Great Soundtrack,2D,Colorful,Singleplayer,Surreal,Kickstarter,Cute,Survival Horror,Story Rich,Open World",Single-player,9/10/2015
16030,7 Wonders: Treasures of Seven,9.99,Casual,"Casual,Match 3,Puzzle",Single-player,11/14/2008
204220,Snapshot,9.99,"Adventure,Casual,Indie","Indie,Adventure,Casual,Platformer,Puzzle,Puzzle-Platformer,Singleplayer,2D,Physics",Single-player,8/30/2012
323780,Fireworks Simulator,9.99,Simulation,Simulation,Single-player,11/26/2014
273760,Towtruck Simulator 2015,9.99,Simulation,"Simulation,Driving,Singleplayer",Single-player,3/11/2014
267940,Glacier 3: The Meltdown,9.99,"Action,Racing","Racing,Action",Single-player,9/6/2010
223000,7 Wonders: Ancient Alien Makeover,9.99,"Strategy,Casual","Casual,Strategy,Match 3,Puzzle",Single-player,10/24/2012
12480,9th Company: Roots Of Terror,9.99,Strategy,"Strategy,RTS,Military,Cold War,War",Single-player,12/3/2009
15160,Petz® Horsez® 2,9.99,Simulation,"Simulation,Horses,Family Friendly,Psychological Horror",Single-player,11/13/2007
283350,Eurofighter Typhoon,9.99,Action,"Flight,Action,Simulation",Single-player,7/30/2001
283430,Litil Divil,9.99,"Action,Adventure","Adventure,Action,Retro",Single-player,1/1/1993
334120,Armikrog,9.99,"Adventure,Indie","Adventure,Indie,Point & Click,Comedy,Puzzle,Kickstarter,Great Soundtrack,Singleplayer,Atmospheric",Single-player,9/30/2015
332150,LEVEL UP!,9.99,"Action,Indie,Early Access","Early Access,Action,Indie",Single-player,11/24/2014
273940,Warehouse and Logistics Simulator,9.99,Simulation,"Simulation,Action,Survival,Female Protagonist",Single-player,2/25/2014
514170,18 Wheels of Steel: Convoy,9.99,Simulation,Simulation,Single-player,9/1/2005
38460,MDK 2,9.99,Action,"Action,Classic,Third Person,Sci-fi,Comedy,Funny",Single-player,5/1/2000
37300,DinerTown Tycoon,9.99,Simulation,"Casual,Management",Single-player,9/30/2009
328880,Space Legends: At the Edge of the Universe,9.99,"Adventure,Casual","Casual,Adventure,Hidden Object,Sci-fi",Single-player,7/25/2014
344030,Ghost Pirates of Vooju Island,9.99,"Adventure,Casual","Adventure,Casual,Point & Click,Pirates",Single-player,1/27/2015
296280,TownCraft,9.99,"Indie,Simulation,Strategy","Indie,Simulation,Strategy,City Builder",Single-player,2/25/2015
269610,Arcane Worlds,9.99,"Action,Adventure,Early Access,Indie,Strategy","Early Access,Indie,Adventure,Action,Sandbox,Strategy,Open World,Singleplayer",Single-player,1/28/2014
257870,Eschalon: Book III,9.99,"Adventure,Indie,RPG","RPG,Indie,Adventure,Isometric,Turn-Based,Fantasy,Singleplayer",Single-player,2/14/2014
65600,Gothic 3: Forsaken Gods Enhanced Edition,9.99,RPG,"RPG,Open World,Action,Singleplayer,Adventure,Gothic,Third Person,Fantasy",Single-player,3/22/2011
211010,Alien Shooter 2 Conscription,9.99,"Action,Indie,RPG","Action,Indie,RPG,Shooter,Singleplayer,Top-Down Shooter,Aliens",Single-player,5/18/2012
326230,Smugglers 5: Invasion,9.99,"Indie,RPG,Simulation,Strategy","Strategy,RPG,Indie,Simulation,Space",Single-player,10/16/2014
281580,Wings Over Europe,9.99,Simulation,"Simulation,Flight",Single-player,5/24/2006
230150,Incredipede,9.99,"Adventure,Indie,Simulation","Indie,Adventure,Puzzle,Simulation,Physics,Platformer,Singleplayer,Female Protagonist",Single-player,3/18/2013
38000,Mahjong Quest Collection,9.99,Casual,"Casual,Puzzle",Single-player,8/24/2009
16180,Virtual Villagers - The Secret City,9.99,"Casual,Simulation","Casual,Simulation",Single-player,5/28/2008
35310,Clutch,9.99,"Action,Racing","Racing,Action,Zombies,Open World,Gore,Singleplayer",Single-player,6/2/2009
16110,Virtual Villagers: The Lost Children,9.99,"Casual,Simulation","Casual,Simulation",Single-player,2/14/2007
4460,City Life 2008,9.99,"Simulation,Strategy","Simulation,Strategy,City Builder",Single-player,7/18/2008
38170,Cradle of Rome,9.99,Casual,"Casual,Match 3",Single-player,2/27/2007
47730,Dragon Age™: Origins Awakening,9.99,RPG,"RPG,Fantasy,Multiple Endings,Real-Time with Pause,Party-Based RPG,Singleplayer,Choices Matter,Story Rich,Character Customization,Female Protagonist,Dark Fantasy,Atmospheric,Third Person,Dragons,Adventure,Tactical,Action,Romance,Medieval,Open World",Single-player,3/16/2010
33180,Zombie Shooter 2,9.99,"Action,Indie,RPG","Action,Zombies,RPG,Indie,Shooter,Top-Down Shooter,Isometric",Single-player,9/23/2009
15920,Luxor 2,9.99,Casual,Casual,Single-player,12/8/2005
15930,Luxor 3,9.99,Casual,"Casual,Puzzle",Single-player,11/13/2007
40330,Secret Files: Tunguska,9.99,Adventure,"Adventure,Point & Click,Female Protagonist,Mystery",Single-player,10/29/2009
308330,Lost Chronicles of Zerzura,9.99,Adventure,"Adventure,Point & Click",Single-player,7/10/2014
281410,Ubersoldier II,9.99,Action,"Action,FPS,World War II,Shooter,First-Person,Singleplayer",Single-player,7/22/2008
354820,Prison Tycoon Alcatraz,9.99,Simulation,"Simulation,Management",Single-player,5/11/2015
291450,Smugglers 5,9.99,"Indie,RPG,Simulation,Strategy","Strategy,Indie,Simulation,RPG,Space,Turn-Based Strategy,Turn-Based,Sci-fi,Trading",Single-player,4/11/2014
517810,Caesar™ IV,9.99,"Simulation,Strategy","Strategy,Simulation,City Builder,Rome,Historical",Single-player,9/9/2006
37220,Cooking Dash®,9.99,Simulation,Casual,Single-player,8/12/2009
263120,Ludwig,9.99,"Adventure,Indie,Simulation","Adventure,Indie,Simulation,Education,Physics",Single-player,6/6/2014
283330,Desert Thunder,9.99,Action,"Action,Tanks",Single-player,11/19/2003
37240,Diner Dash:® Hometown Hero™,9.99,Simulation,Casual,Single-player,8/12/2009
16120,Plant Tycoon,9.99,"Casual,Simulation","Casual,Simulation,Management",Single-player,9/27/2007
11150,Sherlock Holmes: The Silver Earring,9.99,Adventure,"Adventure,Point & Click,Detective,Mystery",Single-player,9/30/2004
4420,Silverfall,9.99,RPG,"RPG,Hack and Slash,Action RPG,Loot,Action,Fantasy",Single-player,3/20/2007
15970,Luxor,9.99,Casual,"Casual,Match 3",Single-player,6/10/2008
38070,Coconut Queen,9.99,"Casual,Simulation","Casual,Simulation",Single-player,12/17/2009
16100,Virtual Villagers: A New Home,9.99,"Casual,Simulation","Casual,Simulation",Single-player,7/14/2006
217270,Karateka,9.99,"Action,Indie","Action,Indie,Fighting,Remake,Rhythm",Single-player,12/3/2012
11900,LUMINES™,9.99,Casual,"Casual,Puzzle,Music",Single-player,4/18/2008
